Date,Number,Frame Count,Dataset Type,Raw Km,Labeled Km,Raw Zip,Labeled Zip,Car,Truck,Bus,Bicycle,Horse_and_Buggy,Pedestrian,Pedestrian_With_Object,Animals,Garbage_Containers_on_Wheels,Traffic_Guidance_Objects,Snow points removed,Road snow cover,Cam 00 lens snow cover
2019_02_27,16,100,TRAIN,0.21,0.11,8.50,1.40,5,2,1,3,0,72,0,0,0,4,404,Covered,None
2019_02_27,18,100,TRAIN,0.18,0.18,5.00,1.40,401,5,1,0,0,155,0,0,4,0,428,Covered,None
2019_02_27,19,95,TRAIN,0.00,0.00,4.50,1.40,65,0,1,0,0,80,0,0,0,0,685,Covered,None
2019_02_27,20,98,TRAIN,0.20,0.21,4.60,1.40,484,9,4,0,0,121,0,0,0,0,808,Covered,None
2019_02_27,22,100,TRAIN,0.31,0.20,7.20,1.40,99,3,4,0,0,34,1,0,0,0,243,Covered,None
2019_02_27,24,100,TRAIN,0.42,0.24,8.50,1.40,157,6,0,0,0,44,0,0,0,0,361,Covered,None
2019_02_27,25,100,TRAIN,0.12,0.12,8.40,1.40,77,13,1,0,0,5,2,0,5,0,328,Covered,None
2019_02_27,27,100,TRAIN,0.07,0.07,8.50,1.50,79,5,0,0,0,7,0,0,0,0,323,Covered,None
2019_02_27,28,100,TRAIN,0.47,0.27,8.60,1.40,212,8,0,0,0,5,1,0,2,2,194,Covered,None
2019_02_27,30,100,TRAIN,0.16,0.07,8.30,1.40,182,10,1,0,0,12,0,0,6,0,573,Covered,None
2019_02_27,31,100,TRAIN,0.52,0.27,8.30,1.40,155,14,2,0,0,5,0,0,6,1,369,Covered,None
2019_02_27,33,100,TRAIN,0.13,0.00,8.30,1.40,61,11,0,0,0,6,0,0,1,0,583,Covered,None
2019_02_27,34,73,TRAIN,0.13,0.13,7.30,1.00,111,4,0,0,0,11,0,0,1,0,322,Covered,None
2019_02_27,35,100,TRAIN,0.35,0.30,6.20,1.40,95,3,1,0,0,14,0,0,31,3,183,Covered,None
2019_02_27,37,58,TRAIN,0.00,0.00,2.80,0.87,27,0,1,0,0,2,0,0,0,0,1176,Covered,None
2019_02_27,39,58,TRAIN,0.16,0.17,2.70,0.80,288,1,0,0,0,0,0,0,2,0,541,Covered,None
2019_02_27,40,100,TRAIN,0.48,0.22,8.20,1.40,292,6,0,0,0,21,0,0,0,0,543,Covered,None
2019_02_27,41,100,TRAIN,0.18,0.00,8.20,1.40,29,0,1,0,0,3,0,0,0,0,1066,Covered,None
2019_02_27,43,100,TRAIN,0.36,0.20,8.40,1.40,58,20,0,0,0,3,0,0,0,0,1375,Covered,None
2019_02_27,44,100,TRAIN,0.19,0.19,4.70,1.40,23,1,1,0,0,11,0,0,2,0,492,Covered,None
2019_02_27,45,88,TRAIN,0.23,0.24,4.00,1.20,23,1,0,0,0,10,0,0,0,0,409,Covered,None
2019_02_27,46,100,TRAIN,0.32,0.24,6.50,1.40,52,1,0,0,0,4,0,0,7,0,884,Covered,None
2019_02_27,47,95,TRAIN,0.42,0.42,4.40,1.30,18,3,0,0,0,0,0,0,0,0,477,Covered,None
2019_02_27,49,100,TRAIN,0.59,0.35,7.60,1.30,19,1,0,0,0,0,0,0,3,0,937,Covered,None
2019_02_27,50,73,TRAIN,0.24,0.24,3.30,0.97,76,5,0,0,0,4,0,0,4,0,850,Covered,None
2019_02_27,51,100,TRAIN,0.19,0.06,7.50,1.30,61,3,1,0,0,3,0,0,0,0,1105,Covered,None
2019_02_27,54,100,TRAIN,0.19,0.14,6.30,1.40,126,6,2,0,0,2,0,0,3,0,739,Covered,None
2019_02_27,55,100,TRAIN,0.53,0.30,8.30,1.40,109,8,1,0,0,8,1,0,17,0,698,Covered,None
2019_02_27,56,100,TRAIN,0.51,0.28,8.50,1.40,269,2,3,0,0,9,1,0,11,0,863,Covered,None
2019_02_27,58,100,TRAIN,0.21,0.17,5.60,1.40,78,6,2,0,0,10,0,0,0,0,318,Covered,None
2019_02_27,59,100,TRAIN,0.24,0.24,8.30,1.40,185,1,0,0,0,48,0,0,3,0,411,Covered,None
2019_02_27,60,100,TRAIN,0.07,0.06,4.80,1.40,96,8,2,0,0,29,0,0,2,0,491,Covered,None
2019_02_27,61,100,TRAIN,0.51,0.34,7.40,1.40,183,11,1,2,0,19,1,0,3,0,457,Covered,None
2019_02_27,63,100,TRAIN,0.47,0.37,5.70,1.30,156,7,1,0,0,5,0,0,2,1,416,Covered,None
2019_02_27,65,100,TRAIN,0.35,0.24,8.10,1.30,261,14,4,0,0,2,0,0,0,0,853,Covered,None
2019_02_27,66,75,TRAIN,0.24,0.22,4.60,0.98,183,25,0,0,0,5,0,0,2,0,617,Covered,None
2019_02_27,68,100,TRAIN,0.22,0.02,7.90,1.30,27,6,1,0,0,0,0,0,0,0,1327,Covered,None
2019_02_27,70,50,TRAIN,0.69,0.13,8.00,0.65,44,9,0,0,0,0,0,0,0,0,1443,Covered,None
2019_02_27,72,97,TRAIN,0.27,0.28,4.40,1.30,58,13,0,0,0,7,2,0,4,0,173,Covered,None
2019_02_27,73,100,TRAIN,0.41,0.19,8.50,1.40,48,11,0,0,0,20,2,0,2,0,170,Covered,None
2019_02_27,75,100,TRAIN,0.03,0.03,5.60,1.20,29,12,0,0,0,0,0,0,0,0,269,Covered,None
2019_02_27,76,100,TRAIN,0.41,0.22,6.10,1.30,30,6,0,0,0,0,0,0,0,0,336,Covered,None
2019_02_27,78,100,TRAIN,0.60,0.52,4.90,1.20,13,5,1,0,0,0,0,0,0,0,932,Covered,None
2019_02_27,79,84,TRAIN,0.18,0.19,4.00,1.20,44,2,0,0,0,5,2,1,3,0,280,Covered,None
2019_02_27,80,96,TRAIN,0.36,0.36,4.30,1.30,44,4,0,0,1,1,0,0,0,0,628,Covered,None
2019_02_27,82,97,TRAIN,0.11,0.11,4.30,1.30,68,6,1,0,0,1,0,0,6,0,424,Covered,None
